playerid;overallrating;potential;birthdate;playerjointeamdate;contractvaliduntil;haircolorcode;eyecolorcode;skintonecode;headtypecode;bodytypecode;height;weight;preferredfoot;skillmoves;internationalrep;hashighqualityhead;isretiring;nationid;preferredposition1;preferredposition2;preferredposition3;preferredposition4;firstname;lastname;acceleration;sprintspeed;agility;balance;jumping;stamina;strength;reactions;aggression;interceptions;positioning;vision;ballcontrol;crossing;dribbling;finishing;freekickaccuracy;headingaccuracy;longpassing;shortpassing;marking;shotpower;longshots;standingtackle;slidingtackle;volleys;curve;penalties;gkdiving;gkhandling;gkkicking;gkreflexes;gkpositioning
270465;75;82;154188;161760;2030;0;9;2;1539;4;177;68;2;3;1;1;0;97;23;18;12;-1;Badredine;Bouanani;72;69;78;77;61;71;59;69;38;28;71;77;79;75;80;70;66;45;71;77;33;68;67;34;30;58;73;63;10;7;9;15;14
273616;70;82;154344;161534;2030;21;9;10;1016;1;182;75;2;3;1;0;0;14;23;18;27;12;Romain;Esse;79;76;85;81;63;66;55;67;55;53;68;66;71;68;72;68;57;48;57;69;25;64;62;52;44;57;66;52;10;14;5;9;13
263193;75;87;154347;160984;2029;0;9;10;1021;6;196;95;2;2;1;1;0;18;5;-1;-1;-1;El Chadaille;Bitshiabu;55;85;44;32;85;56;92;71;73;71;35;62;62;47;54;26;30;76;67;69;74;73;23;76;69;21;51;38;10;12;13;7;13
264240;83;88;154063;159872;2026;3;4;2;42;2;173;70;1;3;3;1;0;45;14;18;10;-1;Pablo Martín;Páez Gavira;77;75;86;90;62;84;58;86;85;79;81;83;85;69;86;71;47;42;82;84;59;56;70;78;72;49;74;51;8;10;11;13;7
264309;82;89;154267;160972;2029;3;4;1;1549;2;175;70;2;4;1;1;0;48;12;18;14;23;Arda;Güler;78;69;83;85;54;75;43;80;44;55;80;84;84;82;85;76;77;41;82;84;52;80;81;57;46;70;85;71;13;10;11;10;14
269087;78;86;154528;161350;2029;20;9;4;1542;4;190;75;1;2;1;1;0;18;5;-1;-1;-1;Leny;Yoro;65;72;55;61;81;69;75;79;73;79;41;60;69;47;60;38;32;76;58;75;77;51;37;82;80;35;37;40;13;7;5;14;14
271800;79;86;154049;161332;2029;0;3;10;1015;2;180;65;2;4;1;1;0;116;12;23;-1;-1;Yankuba;Minteh;94;94;92;80;61;70;47;77;63;54;78;76;80;77;83;75;44;40;57;72;58;69;62;60;49;53;70;57;9;8;7;8;11
272834;86;91;154116;161368;2029;3;6;4;13;2;174;66;1;3;3;1;0;38;14;10;-1;-1;João Pedro;Gonçalves Neves;77;71;84;86;87;92;78;85;84;85;79;84;87;67;84;71;72;81;86;86;83;79;73;84;81;80;76;60;8;7;5;13;13
272978;78;89;154642;161731;2032;21;9;9;1024;2;182;76;2;2;1;1;0;34;7;5;10;-1;Jorrel;Hato;87;84;76;78;91;69;73;79;72;77;61;67;78;66;70;39;31;69;74;79;74;55;30;77;73;36;59;34;8;5;5;9;13
274246;73;86;154697;160827;2028;3;5;2;4001;4;193;80;1;3;1;0;0;14;14;10;-1;-1;Lewis;Miley;67;63;71;68;73;71;71;73;50;68;68;77;73;64;75;63;59;64;74;77;63;72;67;69;62;56;69;49;9;7;10;7;12
275048;74;87;154340;161706;2030;3;5;3;531;1;175;64;1;3;1;1;0;129;23;12;-1;-1;Chemsdine;Talbi;92;88;87;84;63;74;55;69;40;57;70;68;77;72;80;68;48;36;50;65;60;67;56;37;33;60;75;50;5;6;12;10;8
276528;74;86;154578;161175;2026;0;3;3;4020;8;170;65;1;3;1;1;0;52;18;14;27;-1;Claudio;Echeverri;87;82;92;92;53;55;40;71;54;39;71;72;74;70;81;66;69;40;69;71;32;68;69;44;37;59;78;52;9;12;6;11;13
278046;82;88;154963;160967;2029;0;5;4;1551;1;183;79;1;2;3;1;0;45;5;-1;-1;-1;Pau;Cubarsí Paredes;72;73;67;62;87;68;77;83;80;83;51;74;82;31;78;41;33;83;86;85;84;51;35;84;82;41;22;41;10;6;14;14;7
262105;72;87;154701;160812;2029;0;9;7;1016;7;170;67;1;5;1;0;0;7;12;16;25;23;Julien;Duranville;90;86;91;90;56;55;47;69;43;23;64;59;74;64;87;61;55;33;59;67;21;64;63;28;30;51;63;48;10;6;9;11;15
262863;77;87;154318;161376;2029;3;3;5;1001;1;183;77;1;4;1;1;0;36;16;18;27;-1;Antonio;Nusa;92;86;91;87;69;73;59;71;57;35;74;75;82;68;82;73;58;45;63;71;38;83;69;47;53;60;75;54;12;14;14;10;9
269859;77;87;154249;161531;2026;2;2;2;4007;1;180;74;1;3;1;0;0;7;14;10;18;-1;Arthur;Vermeeren;75;65;79;76;67;76;61;76;65;77;61;81;81;69;78;48;48;54;79;83;75;66;63;64;59;38;71;60;9;6;13;8;9
272505;77;89;154778;161340;2027;0;9;8;3001;3;173;67;2;4;1;1;0;54;25;-1;-1;-1;Endrick Felipe;Moreira de Sousa;88;86;85;81;84;68;71;77;69;20;76;66;77;52;78;78;71;70;59;68;24;79;74;30;31;74;66;68;8;8;15;13;15
275324;76;87;154461;161523;2029;20;9;10;1039;4;185;72;1;4;1;1;0;136;16;12;27;-1;Assane;Diao;90;90;82;72;62;74;53;69;61;40;75;70;79;69;78;79;54;42;63;69;36;68;75;33;34;65;58;61;7;7;12;11;8
277482;73;86;154561;160967;2028;6;4;1;37;2;183;73;1;4;1;1;0;43;27;18;16;-1;Leo;Sauer;86;90;83;77;64;73;61;69;38;34;63;64;75;68;78;66;49;39;63;68;40;65;61;46;35;53;64;55;8;6;9;12;14
277846;80;89;154097;161389;2028;5;5;1;3512;4;186;81;2;4;1;1;0;52;18;14;-1;-1;Nicolás;Paz Martínez;76;79;78;61;67;75;66;68;42;58;71;78;86;67;86;77;67;48;79;84;35;64;78;65;44;51;64;53;14;10;15;8;12
277954;80;89;154335;160857;2029;3;5;3;1501;5;185;75;1;4;1;1;0;48;18;16;27;14;Kenan;Yıldız;85;84;83;74;80;72;67;74;50;35;78;77;86;74;86;79;67;69;70;75;32;79;79;30;26;78;80;70;14;14;6;14;8
242879;76;86;153172;161333;2029;6;4;2;2019;5;192;81;1;1;1;0;0;7;0;-1;-1;-1;Maarten;Vandevoordt;41;39;52;37;61;37;59;68;16;14;5;64;29;23;24;7;8;15;66;52;11;56;5;10;18;5;12;15;78;75;75;77;74
252552;79;86;153427;159506;2027;3;4;2;2504;4;194;80;1;1;1;0;0;22;0;-1;-1;-1;Konstantinos;Tzolakis;53;56;63;57;68;43;68;69;38;9;9;61;41;12;26;10;11;11;56;47;8;57;11;14;14;11;31;16;78;76;76;83;78
260599;80;86;152935;161013;2028;0;4;2;1503;2;177;73;1;3;1;1;0;52;10;14;-1;-1;Alan;Varela;71;69;71;75;74;84;76;78;84;79;70;76;78;66;75;60;53;57;76;81;79;78;65;77;77;63;78;62;8;11;14;13;5
262138;80;88;153466;161008;2029;0;9;8;1024;2;183;84;2;2;2;1;0;18;5;7;-1;-1;Castello;Lukeba;73;71;70;68;88;65;78;79;78;80;46;72;74;59;73;41;26;81;75;76;80;55;38;85;77;42;54;39;8;10;14;13;11
264238;78;86;153248;160238;2029;0;3;1;2501;1;172;62;1;3;1;1;0;45;16;12;27;-1;Diego;López Noguerol;84;83;80;77;73;75;60;77;47;35;80;75;79;74;77;80;52;59;68;75;41;72;70;30;30;65;65;65;14;15;13;12;14
264388;80;87;153753;161698;2030;0;7;2;3510;2;172;67;1;4;1;0;0;45;16;18;27;-1;Alberto;Moleiro González;88;85;86;83;74;76;60;72;60;48;74;81;81;72;83;74;52;57;74;81;47;74;71;55;53;53;75;59;6;9;11;11;8
266096;78;86;153251;159506;2029;0;3;2;29;5;187;81;1;3;1;1;0;38;5;3;-1;-1;Tomás;Lemos Araújo;81;83;63;58;89;75;82;78;73;78;52;71;76;58;72;25;30;74;79;78;75;40;22;80;74;34;52;39;12;11;7;13;9
266436;77;86;153613;160237;2029;3;4;1;44;4;187;77;1;3;1;1;0;45;14;10;-1;-1;Javier;Guerra Moreno;73;74;77;71;75;73;69;74;67;75;77;80;78;63;76;75;62;68;78;81;74;73;74;75;69;52;65;63;5;12;13;14;11
268889;80;88;153562;161712;2031;6;4;1;4;4;186;75;2;3;1;1;0;45;7;16;-1;-1;Álvaro;Fernández Carreras;84;86;80;74;79;89;76;81;81;78;76;77;82;79;80;65;45;55;76;76;73;77;60;76;75;50;79;43;6;7;11;14;8
268896;78;86;154024;160967;2029;16;2;2;4010;4;187;74;1;3;1;1;0;46;14;10;-1;-1;Hugo;Larsson;72;81;79;73;75;83;74;79;75;77;76;78;80;47;75;77;53;61;77;83;76;74;69;70;60;67;64;53;14;7;7;8;12
270077;76;85;153812;161393;2029;3;4;2;4001;5;185;78;2;2;1;0;0;22;5;-1;-1;-1;Konstantinos;Koulierakis;71;68;52;62;83;76;78;73;82;78;45;41;70;42;62;24;38;73;72;73;77;75;60;75;75;34;52;44;8;8;13;11;10
270531;80;87;153818;160816;2027;0;9;9;3000;5;190;93;1;2;3;1;0;108;5;-1;-1;-1;Ousmane;Diomande;78;82;63;66;93;80;90;73;83;76;24;38;69;28;71;20;24;79;73;71;79;40;22;82;76;24;25;39;8;6;15;6;6
272500;80;86;153848;161026;2028;21;9;10;1016;2;183;77;2;3;3;1;0;103;10;14;-1;-1;Carlos;Baleba;75;74;75;77;80;81;79;78;78;82;67;76;79;65;81;63;50;67;79;80;76;85;75;81;78;67;75;50;11;6;8;13;14
275298;80;87;153969;160911;2029;0;3;3;3;4;188;75;1;3;1;1;0;21;10;14;-1;-1;Aleksandar;Pavlović;69;56;72;70;78;77;72;80;57;76;62;77;83;73;78;66;66;71;85;86;80;64;65;76;77;66;73;50;6;9;15;7;9
250753;80;87;152963;161007;2028;20;3;3;3513;4;199;86;1;1;3;1;0;49;0;-1;-1;-1;Anatoliy;Trubin;49;38;36;45;68;33;69;76;28;9;6;64;29;11;13;9;13;12;32;37;9;58;8;11;11;6;13;18;77;76;77;84;83
254262;78;86;153777;161336;2029;6;4;1;12;4;191;76;1;3;1;1;0;7;10;5;14;-1;Zeno;Debast;66;73;61;53;80;81;73;77;77;76;53;71;78;77;76;51;71;76;81;77;76;68;65;79;76;37;77;42;6;6;15;5;6
256948;80;87;153145;161336;2029;6;3;4;525;2;179;73;1;4;1;1;0;22;16;27;-1;-1;Christos;Tzolis;85;79;84;85;78;85;63;77;70;29;79;78;81;72;84;79;66;68;74;78;33;79;77;39;38;76;75;68;15;10;12;10;6
259377;80;88;153408;161757;2030;0;4;5;1509;1;172;65;1;3;2;1;0;45;18;27;23;14;Yeremy Jesús;Pino Santos;78;77;80;80;58;69;45;79;53;29;81;80;81;79;82;76;60;46;78;81;31;73;69;48;41;67;76;54;9;7;14;9;6
259565;77;86;153778;161702;2030;21;9;10;1024;4;189;86;1;4;1;1;0;18;25;18;-1;-1;Yoan;Bonny;83;91;80;61;88;73;79;75;61;27;75;70;78;68;79;77;59;73;64;74;34;77;74;27;23;70;75;69;13;14;11;9;14
259913;80;87;153359;159506;2026;6;4;3;2021;2;177;68;1;3;1;0;0;49;18;14;16;-1;Georgiy;Sudakov;82;80;80;77;79;80;68;78;68;58;80;81;81;75;83;76;68;68;80;79;61;79;80;58;57;69;77;78;13;9;13;9;12
261050;79;86;153463;161721;2030;3;4;1;12;8;168;61;2;4;1;1;0;38;18;12;23;14;Francisco;F. da Conceição;88;87;93;90;55;69;40;79;50;31;76;74;83;74;85;74;58;40;71;78;34;72;73;42;38;71;75;59;9;6;7;14;15
264862;80;86;153171;159872;2028;3;2;2;602;1;183;63;2;4;1;1;0;18;12;18;23;-1;Maghnes;Akliouche;75;74;84;75;62;77;58;78;54;48;74;82;84;76;84;72;67;46;74;80;46;66;71;52;44;59;80;70;8;10;9;8;5
265188;77;86;153825;160245;2028;6;2;2;1537;5;194;75;1;2;1;0;0;27;5;-1;-1;-1;Giorgio;Scalvini;56;55;48;42;74;61;71;77;81;81;28;61;70;38;56;23;22;73;62;72;79;57;39;82;80;39;35;35;6;12;12;6;9
265450;78;85;153590;161713;2030;0;9;10;1024;2;179;76;2;4;1;1;0;7;23;12;-1;-1;Johan;Bakayoko;87;83;86;77;70;70;68;73;40;33;74;74;81;73;83;74;57;58;58;72;24;75;74;35;27;64;78;59;7;14;7;9;6
265576;75;85;153834;161333;2029;16;2;2;2019;5;190;83;1;2;1;0;0;4;5;-1;-1;-1;Leopold;Querfeld;39;51;51;55;79;68;85;69;74;72;35;60;56;33;47;24;41;80;73;71;76;79;65;77;74;31;22;31;12;6;14;13;9
265695;79;85;153585;161362;2029;3;3;3;1;2;176;69;2;4;1;1;0;52;18;12;14;-1;Matías;Soulé;83;76;83;78;68;86;51;74;38;30;74;76;82;75;84;76;79;58;74;79;28;72;78;40;38;69;79;69;15;8;11;14;15
268611;76;87;153957;160651;2029;0;9;9;1023;4;188;80;1;2;1;1;0;57;5;-1;-1;-1;Joel;Ordoñez;68;78;62;63;84;72;85;69;76;77;40;47;67;40;46;23;28;73;57;75;75;35;18;77;71;27;22;39;13;15;5;12;12
270050;78;85;153519;161527;2030;15;5;2;47;5;187;78;1;3;1;0;0;13;25;-1;-1;-1;Mika;Biereth;69;79;64;68;85;73;79;78;69;24;82;68;75;57;70;83;50;79;58;69;29;78;70;23;28;76;62;72;10;10;11;6;15
270086;78;86;153783;160512;2027;6;7;1;3518;5;187;82;1;2;2;1;0;38;5;-1;-1;-1;António João;Tavares Silva;78;81;57;58;83;83;83;75;70;74;34;68;73;45;69;31;26;76;76;77;80;60;22;81;77;51;36;40;12;10;8;8;6
274288;77;85;153937;161729;2030;3;3;1;2022;2;171;68;1;4;1;0;0;26;18;27;14;-1;Oscar;Gloukh;87;78;87;85;59;74;36;69;45;28;69;76;82;67;84;74;67;52;64;75;42;73;72;32;28;65;73;68;6;8;13;5;13
277031;78;86;153905;161536;2029;21;9;4;547;5;186;84;1;2;1;1;0;191;5;-1;-1;-1;Abdukodir;Khusanov;78;90;63;56;87;64;79;77;79;79;44;58;69;47;61;34;40;75;64;69;77;49;36;78;78;37;48;46;12;7;9;5;8
277581;79;86;153971;161390;2029;0;9;9;1036;5;193;90;1;3;1;1;0;45;25;-1;-1;-1;Samuel;Omorodion Aghehowa;75;83;57;50;94;74;90;79;74;33;83;54;69;48;71;83;50;82;57;67;30;81;72;32;21;70;56;60;11;12;11;8;8
277797;79;85;153602;161396;2029;0;9;5;1543;3;175;72;1;4;1;0;0;54;25;18;14;-1;Marcos Leonardo;Santos Almeida;76;75;77;72;87;75;75;80;34;26;86;65;76;56;75;82;49;80;57;69;22;78;69;17;20;73;65;75;6;9;8;6;13
247172;79;85;153827;161547;2026;21;9;9;1038;5;187;70;2;3;1;1;0;56;25;-1;-1;-1;Jhon;Durán;76;85;68;69;84;69;83;78;83;28;79;63;79;53;76;82;60;69;58;69;26;86;81;33;32;81;58;68;6;6;10;5;9
252037;79;85;153315;161757;2030;19;5;2;1502;4;185;75;1;4;1;1;0;38;25;27;16;-1;Fábio Daniel;Soares Silva;79;83;79;78;87;83;72;79;77;22;81;69;83;45;79;80;46;80;70;75;32;79;69;28;26;75;52;77;6;12;7;8;13
254088;79;85;153307;160062;2030;0;9;8;1031;1;173;67;2;4;1;1;0;108;18;23;3;14;Amad;Diallo;88;82;92;89;65;70;45;77;42;59;78;77;80;75;83;77;60;53;71;76;51;78;69;57;49;65;77;63;13;15;8;6;11
258498;78;84;153345;160969;2028;5;5;2;1532;4;193;89;1;1;1;1;0;34;0;-1;-1;-1;Bart;Verbruggen;57;55;52;45;73;30;72;76;17;19;4;43;23;10;15;8;15;15;35;40;12;57;7;17;14;6;11;21;79;76;76;81;75
258729;78;85;153262;161672;2030;3;4;4;3514;2;184;71;1;4;2;1;0;45;18;14;16;-1;Gabriel;Veiga Novas;73;78;72;65;71;71;72;75;70;75;71;73;82;69;81;77;78;52;78;81;41;77;79;74;64;69;74;60;13;14;13;9;6
259848;77;85;153319;160998;2030;3;4;4;0;2;176;71;1;2;1;1;0;61;3;-1;-1;-1;Jon Mikel;Aramburu;74;74;67;75;75;79;68;77;79;78;69;70;74;71;72;45;55;67;72;76;77;53;51;75;77;50;63;60;12;7;11;5;13
259868;80;85;153372;160294;2030;0;9;10;1042;1;184;70;1;2;1;1;0;136;14;10;-1;-1;Pape Matar;Sarr;71;66;75;72;84;85;71;83;76;80;77;78;80;72;81;65;60;70;80;82;77;69;67;80;76;54;67;54;14;8;14;8;8
264172;76;84;153144;159903;2028;3;5;3;1526;2;183;80;1;3;1;1;0;45;3;12;14;-1;José Ángel;Carmona Navarro;81;83;72;65;79;80;72;74;75;73;70;72;77;71;75;68;38;62;67;72;75;65;62;74;72;58;73;50;9;6;12;11;7
264298;78;84;153670;159842;2029;6;5;2;3;1;181;75;1;3;1;1;0;35;3;12;-1;-1;Conor;Bradley;80;80;72;67;76;84;65;76;84;75;74;69;77;77;75;62;34;65;65;74;75;68;56;77;75;55;60;40;15;9;10;10;5
264432;78;84;153101;161029;2029;3;5;4;1050;1;177;72;1;4;1;1;0;129;16;27;-1;-1;Abdessamad;Ezzalzouli;88;88;83;78;69;70;57;73;68;18;75;72;82;72;86;72;63;50;65;72;25;73;70;32;28;60;66;53;7;5;6;9;12
267976;74;84;153573;161712;2029;19;5;2;1509;1;173;63;1;4;1;0;0;45;18;14;-1;-1;Pablo;Torre Carral;76;68;82;81;54;71;48;69;44;45;70;76;76;75;76;65;79;41;75;77;42;62;68;48;46;50;75;62;15;10;15;9;10
272612;74;84;153997;161377;2028;6;3;1;36;2;178;70;2;4;1;1;0;21;18;12;14;-1;Brajan;Gruda;78;70;85;81;68;66;62;72;62;31;73;72;77;69;82;65;59;51;61;71;26;82;72;30;21;72;75;65;12;10;12;10;6
247649;79;85;153293;159702;2030;1;2;1;47;5;195;74;2;2;1;1;0;14;5;-1;-1;-1;Jarrad;Branthwaite;65;75;34;43;78;72;82;79;75;78;43;52;69;34;57;35;24;80;69;78;81;59;29;81;82;34;29;33;10;9;11;10;12
255558;74;85;153572;161362;2028;0;9;4;1502;5;192;78;1;2;1;0;0;48;5;-1;-1;-1;Emin;Bayram;62;59;64;66;75;77;68;62;79;75;55;62;77;35;69;40;36;73;71;75;76;50;33;76;74;36;40;56;13;7;11;5;14
256261;79;85;152970;161740;2029;0;9;6;1036;4;194;89;1;2;1;1;0;21;5;-1;-1;-1;Malick;Thiaw;72;78;67;54;88;76;83;79;77;78;44;68;76;55;72;43;44;78;78;81;80;56;46;80;78;44;58;64;10;6;15;9;11
258432;77;85;153250;161546;2029;0;9;9;2516;4;193;80;1;2;1;0;0;18;5;-1;-1;-1;Chrislain;Matsima;64;84;45;44;85;72;82;77;76;76;44;51;63;38;54;29;23;78;54;66;80;54;24;78;70;24;31;43;12;8;8;11;6
