assetid;balltype;teamcolor1g;teamcolor1r;teamcolor2b;teamcolor2r;teamcolor3r;teamcolor1b;latitude;teamcolor3g;teamcolor2g;teamname;adboardid;teamcolor3b;defmentality;powid;rightfreekicktakerid;physioid_secondary;domesticprestige;genericint2;jerseytype;rivalteam;midfieldrating;matchdayoverallrating;matchdaymidfieldrating;attackrating;physioid_primary;longitude;buspassing;matchdaydefenserating;defenserating;defteamwidth;longkicktakerid;bodytypeid;trait1;busdribbling;rightcornerkicktakerid;suitvariationid;defaggression;ethnicity;leftcornerkicktakerid;teamid;fancrowdhairskintexturecode;suittypeid;numtransfersin;captainid;personalityid;leftfreekicktakerid;genericbanner;buspositioning;stafftracksuitcolorcode;ccpositioning;busbuildupspeed;transferbudget;ccshooting;overallrating;ccpassing;utcoffset;penaltytakerid;freekicktakerid;defdefenderline;internationalprestige;form;genericint1;cccrossing;matchdayattackrating
36;37;255;255;41;211;1;255;48;1;1;VfB Stuttgart;18;1;75;-1;244176;2;14;-1;2;25;75;75;74;78;1;9;49;74;74;32;244176;1;1;25;227647;1;62;4;241925;36;0;1;0;244176;0;244176;0;0;0;0;50;18000000;31;75;48;1;244176;244176;0;14;0;-1;32;78
38;37;146;1;255;255;0;82;53;108;255;SV Werder Bremen;18;64;49;-1;256548;2;13;-1;2;28;76;76;76;78;1;8;52;75;75;69;256548;1;98;66;206591;1;40;2;206591;38;0;2;0;237595;0;256548;0;0;0;1;49;13000000;69;76;40;1;237595;256548;0;13;0;-1;66;78
39;243;117;49;1;1;255;188;45;255;1;Atalanta BC;9;255;59;-1;226710;2;12;-1;2;47;74;76;75;78;1;9;52;78;77;36;226710;1;0;66;216150;1;54;2;216150;39;0;0;0;187598;0;226710;0;1;0;1;49;30000000;59;76;52;1;230899;226710;0;13;0;-1;56;79
44;243;87;30;1;1;255;153;45;255;1;Internazionale;9;255;45;-1;208128;2;20;-1;1;47;81;79;79;83;1;9;69;78;78;42;208128;0;136;57;208128;0;43;4;208128;44;0;0;0;231478;0;208128;0;0;0;0;70;55000000;72;81;73;1;208128;208128;0;17;0;-1;77;83
45;243;255;255;1;1;255;255;45;255;1;Juventus FC;9;255;67;-1;246430;2;20;-1;2;44;84;86;86;86;1;7;36;85;84;51;246430;1;0;26;240679;1;51;4;240679;45;0;0;0;246430;0;246430;0;0;0;1;36;65000000;41;85;31;1;246430;246430;0;19;0;-1;41;87
46;243;178;102;255;255;1;255;41;1;255;S.S. Lazio;9;1;55;-1;271838;2;17;-1;1;52;79;79;80;81;1;12;50;79;80;55;271838;0;48;69;235374;1;65;4;235374;46;0;0;0;237712;0;271838;0;0;0;1;68;40000000;63;80;70;1;237712;271838;0;16;0;-1;65;80
47;243;2;247;1;1;255;1;45;255;1;AC Milan;9;255;67;-1;241721;2;19;-1;2;44;79;79;79;79;1;9;33;80;80;57;241721;2;972;51;227796;1;57;2;241721;47;0;1;0;241721;1;241721;0;0;0;0;29;55000000;27;79;30;1;241721;241721;0;17;0;-1;47;80
48;243;120;38;255;255;66;191;40;146;255;S.S.C. Napoli;9;217;58;-1;217870;2;18;-1;1;45;82;82;82;84;1;14;29;80;80;46;217870;1;1022;50;217870;1;56;4;217870;48;0;2;0;217870;1;217870;0;0;0;0;28;57000000;24;81;29;1;217870;217870;1;17;0;-1;76;84
50;202;212;255;143;9;255;0;44;255;48;Parma Calcio;9;255;49;-1;225475;2;13;-1;2;189;70;70;70;72;1;10;68;67;68;65;225475;1;0;34;268581;0;50;2;268581;50;0;1;0;252442;0;252794;0;0;0;0;69;8000000;75;70;80;1;243154;252794;0;10;0;-1;34;71
52;243;0;102;0;255;255;0;41;255;142;AS Roma;9;255;73;-1;211110;2;18;-1;2;47;82;81;83;80;1;12;52;80;80;59;228251;0;508;39;211110;0;69;2;228251;52;0;2;0;228251;1;228251;0;0;0;1;52;46000000;44;81;35;1;228251;211110;0;17;0;-1;69;80
54;243;29;124;255;255;124;35;45;29;255;Torino FC;9;35;66;-1;241095;2;13;-1;1;45;76;78;76;80;1;7;51;77;76;66;241095;1;24;77;211147;0;66;2;211147;54;0;0;0;215333;1;241095;0;0;0;1;49;15500000;53;77;42;1;215333;241095;0;11;0;-1;46;80
55;243;1;1;255;255;1;1;46;1;255;Udinese Calcio;9;1;76;-1;223866;2;15;-1;2;1837;75;74;75;74;1;13;53;75;75;68;223866;1;0;48;220421;1;78;4;220421;55;0;0;0;240332;0;223866;0;0;0;0;51;8000000;55;74;44;1;240332;223866;0;15;0;-1;78;75
57;55;112;32;255;255;0;184;47;125;255;AJ Auxerre;7;251;47;-1;251170;2;13;-1;2;294;70;70;72;70;1;3;49;68;66;46;251170;2;272;57;198348;1;51;4;221271;57;0;2;0;229448;1;251170;0;0;0;0;50;5000000;46;68;51;1;198348;251170;0;3;0;-1;77;70
58;38;76;0;255;255;0;157;42;103;255;SC Bastia;7;206;44;-1;181343;2;9;-1;1;614;72;73;73;71;1;9;61;73;72;48;188765;1;256;60;181343;1;55;2;181343;58;0;2;0;204260;1;181343;0;0;0;0;58;2750000;49;72;56;1;204260;181343;0;10;0;-1;47;71
59;38;53;36;255;255;33;99;44;16;255;Girondins de Bordeaux;7;99;29;-1;134779;2;17;-1;2;219;75;76;77;76;1;0;72;75;74;25;134779;0;2;74;134779;1;23;2;134779;59;0;0;0;165229;1;134779;0;0;0;0;73;11000000;80;75;60;1;165229;134779;0;14;0;-1;60;77
62;38;2;218;1;1;255;39;48;255;1;En Avant de Guingamp;7;255;45;-1;234930;2;10;-1;2;378;74;75;75;78;1;-3;52;73;73;59;234930;1;258;56;202035;0;60;6;202035;62;0;0;0;134779;1;234930;0;0;0;0;49;2000000;59;74;60;1;134779;234930;0;10;0;-1;56;80
64;55;0;184;0;248;255;28;50;138;236;RC Lens;7;21;48;-1;208787;2;11;-1;1;65;68;69;69;68;1;2;38;69;69;53;212138;1;128;25;208787;1;39;2;208787;64;0;2;0;208787;0;208787;0;0;0;0;38;13000000;43;69;33;1;208787;208787;0;12;0;-1;43;68
65;38;18;239;255;255;250;9;50;0;255;Lille LOSC ;7;0;58;-1;213296;2;15;-1;1;64;74;73;73;73;1;3;69;70;72;51;213296;1;32;27;202371;1;53;2;202371;65;0;0;0;190674;1;213296;0;0;0;1;70;15000000;73;74;65;1;190674;213296;0;14;0;-1;31;72
66;38;255;255;131;4;180;255;45;0;50;Olympique Lyonnais;7;0;68;-1;208364;2;19;-1;1;1819;79;77;78;77;1;4;38;75;77;69;208364;1;170;54;263815;1;69;2;263815;66;0;0;0;268763;0;208364;0;0;0;0;39;25000000;39;78;39;1;268763;208364;0;16;0;-1;39;77
68;38;23;156;255;255;112;43;45;14;255;FC Metz;7;29;43;-1;210438;2;11;-1;1;1823;73;71;72;70;1;6;51;70;72;38;236817;1;0;36;210438;0;31;2;210438;68;0;0;0;190870;0;210438;0;0;0;0;53;6000000;38;72;31;1;223929;210438;0;9;0;-1;35;67
69;38;30;224;255;255;221;35;43;22;255;AS Monaco FC;7;33;48;-1;225663;2;15;-1;2;72;81;80;81;79;1;7;36;78;78;56;225663;0;136;54;225663;0;40;2;225663;69;0;0;0;225663;0;225663;0;0;0;0;39;23000000;54;80;34;1;225663;225663;0;16;0;-1;74;79
70;38;90;1;38;244;255;148;43;255;148;Montpellier HSC;7;255;47;-1;205686;2;11;-1;2;224;72;73;72;73;1;3;50;73;73;32;205686;1;0;60;205686;1;43;2;205686;70;0;0;0;205686;1;205686;0;0;0;0;52;8000000;32;73;43;1;205686;205686;0;13;0;-1;59;73
71;38;221;254;44;0;255;57;47;255;87;FC Nantes;7;45;66;-1;209288;2;12;-1;2;74;72;74;71;74;1;-1;66;75;75;47;209288;2;104;37;216820;1;67;2;216820;71;0;2;0;231691;0;209288;0;0;0;0;66;8000000;61;74;73;1;231691;209288;0;12;0;-1;77;74
72;38;0;204;1;1;255;0;43;255;1;OGC Nice;7;255;67;-1;224422;2;12;-1;2;69;77;76;76;77;1;7;39;76;76;56;158625;1;164;26;224422;0;56;2;224422;72;0;0;0;158625;0;224422;0;0;0;0;36;15000000;56;76;36;1;209519;224422;0;12;0;-1;56;77
73;38;62;1;41;200;255;116;48;255;42;Paris Saint-Germain;7;255;68;-1;235212;2;20;-1;2;219;83;84;83;87;1;2;36;83;83;55;235212;0;986;34;231443;1;55;2;231443;73;0;0;0;207865;0;235212;0;0;0;1;36;90000000;58;83;34;1;207865;235212;0;18;0;-1;45;86
74;38;48;223;1;1;255;40;48;255;1;Stade Rennais FC;7;255;45;-1;231102;2;14;-1;1;71;72;73;71;76;1;-1;50;74;75;42;231102;0;260;59;220093;0;42;6;220093;74;0;1;0;216320;0;231102;0;0;0;1;51;15000000;42;74;42;1;216320;231102;0;10;0;-1;58;74
76;38;102;51;255;255;0;204;48;159;255;RC Strasbourg Alsace;7;224;67;-1;235042;2;5;-1;2;68;72;70;72;70;1;7;50;71;71;42;235042;0;8;32;235042;1;62;2;235042;76;0;0;0;235042;1;235042;0;0;0;0;50;8000000;47;71;58;1;235042;235042;0;3;0;-1;32;67
77;43;0;240;255;255;240;0;57;0;255;Aberdeen FC;3;0;45;-1;186839;2;15;-1;2;620;70;69;71;69;1;-2;51;69;68;68;186839;1;0;49;204820;0;62;2;204820;77;0;2;0;186839;0;186839;0;0;0;0;49;2500000;68;69;62;0;186839;186839;0;8;0;-1;76;69
78;43;123;8;255;255;25;16;55;141;255;Celtic FC;3;22;60;-1;211093;2;20;-1;2;86;74;74;74;75;1;-4;36;71;72;53;211093;1;164;48;200630;1;55;2;200630;78;0;0;0;211093;0;211093;0;0;0;0;38;14000000;33;74;33;0;211093;211093;0;11;0;-1;33;75
80;43;0;120;255;255;100;41;55;12;255;Heart Of Midlothian FC;3;35;60;-1;223747;2;14;-1;1;83;65;67;66;71;1;-3;50;67;67;31;223747;1;48;61;223747;1;49;2;223747;80;0;0;0;223747;0;223747;0;0;0;0;49;3000000;32;67;47;0;223747;223747;0;7;0;-1;61;71
81;43;102;0;255;255;25;51;56;120;255;Hibernian Edinburgh FC;3;58;45;-1;186756;2;13;-1;2;80;66;67;68;67;1;-3;49;67;67;41;186756;1;128;47;186756;1;63;2;186756;81;0;2;0;189110;1;186756;0;0;0;0;50;1200000;41;66;63;0;211221;186756;0;6;0;-1;77;68
82;43;12;12;255;255;19;205;55;19;255;Kilmarnock FC;3;220;47;-1;224487;2;10;-1;2;184;66;67;68;66;1;-4;49;66;63;36;224487;1;64;57;227945;1;38;2;227945;82;0;2;0;224487;0;224487;0;0;0;0;52;850000;36;65;38;0;224487;224487;0;5;0;-1;54;68
83;43;159;255;51;153;251;2;55;151;0;Motherwell FC;3;20;28;-1;216484;2;13;-1;2;184;64;64;65;62;1;-3;73;65;64;33;204787;0;64;34;222109;1;22;2;222109;83;0;2;0;204787;0;216484;0;0;0;0;73;900000;74;64;74;0;204787;216484;0;6;0;-1;34;62
86;43;80;50;255;255;220;210;55;40;255;Rangers FC;3;40;60;-1;195479;2;20;-1;1;78;70;71;70;71;1;-4;69;70;70;62;195479;2;144;68;195479;1;64;2;195479;86;0;2;0;195479;0;195479;0;0;0;0;73;9000000;68;71;68;0;195479;195479;0;14;0;-1;42;71
88;41;35;1;255;255;1;102;52;35;255;Birmingham City FC;3;163;43;-1;237424;2;10;-1;2;2;71;71;72;69;1;-1;71;70;70;68;237424;1;0;45;246159;0;49;2;246159;88;0;0;0;255206;1;237424;0;0;0;0;68;7500000;78;71;79;0;255206;237424;0;9;0;-1;45;72
89;41;28;212;255;255;212;43;51;28;255;Charlton Athletic;3;43;43;-1;240863;2;9;-1;2;97;65;67;66;65;1;0;53;65;65;70;240863;1;1;78;240863;1;43;2;240863;89;0;1;0;187157;0;240863;0;0;0;0;50;3000000;70;67;43;0;187157;240863;0;7;0;-1;37;68
91;41;255;255;1;1;255;255;52;255;1;Derby County FC;3;255;67;-1;210985;2;10;-1;2;14;72;72;73;71;1;-1;53;73;72;38;210985;0;33;39;204353;1;58;2;204353;91;0;0;0;163761;0;210985;0;0;0;0;51;10000000;55;72;54;0;163761;210985;0;9;0;-1;38;72
92;41;1;1;255;255;1;1;54;1;255;Grimsby Town FC;3;1;74;-1;151213;2;3;-1;2;1949;61;63;61;60;1;0;67;64;65;46;151213;2;0;76;151213;0;76;2;151213;92;0;2;0;189772;0;151213;0;0;0;0;73;625000;62;62;72;0;156473;151213;0;1;0;-1;46;61
94;41;85;30;255;255;30;150;52;85;255;Ipswich Town FC;3;165;66;-1;225667;2;10;-1;2;1792;70;71;71;70;1;1;70;71;70;60;225667;1;258;36;225667;1;60;2;246685;94;0;2;0;220139;0;225667;0;0;0;0;71;7000000;73;70;74;0;233602;225667;0;8;0;-1;40;73
95;241;101;57;255;255;57;189;52;101;255;Leicester City FC;2;209;47;-1;267680;2;12;-1;2;14;79;78;80;79;1;-1;73;76;76;54;267680;1;476;44;210243;1;54;2;210243;95;0;0;0;210243;1;267680;0;0;0;1;73;23000000;64;78;64;0;210243;267680;0;12;0;-1;48;79
97;41;36;33;255;255;33;115;51;36;255;Millwall FC;3;115;43;-1;203505;2;8;-1;2;19;69;69;70;68;1;0;73;69;68;46;203505;1;24;39;203505;1;55;2;203505;97;0;2;0;216481;0;203505;0;0;0;0;66;6000000;76;68;65;0;216481;203505;0;7;0;-1;69;70
106;41;1;231;255;255;221;1;54;1;255;Sunderland A.F.C.;3;1;26;-1;199503;2;13;-1;2;13;68;70;67;65;1;-1;72;70;70;39;199503;0;65;37;275048;0;22;4;275048;106;0;0;0;215700;0;199503;0;0;0;0;70;7000000;79;70;61;0;215700;199503;0;14;0;-1;37;61
109;241;36;1;255;255;1;106;52;36;255;West Bromwich Albion FC;2;136;26;-1;213798;2;12;-1;2;110;77;76;76;78;1;-1;66;76;77;33;213798;0;328;57;213798;1;29;2;213798;109;0;0;0;205970;0;213798;0;0;0;0;72;11000000;65;77;63;0;205970;213798;0;13;0;-1;67;78
110;41;140;255;1;1;255;1;52;140;1;Wolverhampton Wanderers FC;3;1;68;-1;235456;2;11;-1;2;109;77;75;78;75;1;-2;49;73;72;52;235456;1;16;43;201417;0;52;5;201417;110;0;2;0;238756;0;235456;0;0;0;1;50;30000000;31;74;36;0;238756;235456;0;11;0;-1;42;76
111;0;0;0;0;0;0;0;0;0;0;Home;1;0;50;-1;1;2;0;-1;0;1;0;0;0;0;1;0;50;0;0;50;1;1;0;50;1;0;50;2;1;111;0;0;0;1;1;1;0;0;0;0;50;250000;50;0;50;0;1;1;0;0;0;-1;50;0
112;0;0;0;0;0;0;0;0;0;0;Away;1;0;50;-1;1;2;0;-1;0;1;0;0;0;0;1;0;50;0;0;50;1;1;0;50;1;0;50;2;1;112;0;0;0;1;1;1;0;0;0;0;50;250000;50;0;50;0;1;1;0;0;0;-1;50;0
121;41;1;231;255;255;231;1;53;1;255;Crewe Alexandra FC;3;1;66;-1;213519;2;4;-1;2;1928;58;59;55;61;1;-2;49;59;60;56;213519;1;2;46;179757;1;56;2;179757;121;0;0;0;171816;0;213519;0;0;0;0;49;600000;41;61;32;0;171816;213519;0;3;0;-1;46;60
127;41;51;1;0;255;1;204;52;51;163;Shrewsbury Town FC;3;214;59;-1;167512;2;4;-1;2;1803;65;66;67;65;1;-3;38;66;65;31;162899;1;32;31;167512;1;57;2;167512;127;0;2;0;183517;0;202482;0;0;0;0;36;600000;41;65;31;0;167512;167512;0;3;0;-1;41;65
135;41;153;255;1;1;255;1;51;153;1;Barnet FC;3;0;74;-1;212833;2;3;-1;2;361;57;60;56;63;1;0;67;61;62;63;212833;1;80;47;169150;0;73;2;169150;135;0;2;0;186112;0;212833;0;0;0;0;66;700000;62;61;77;0;186112;212833;0;2;0;-1;73;62
142;41;14;202;255;255;212;9;53;14;255;Doncaster Rovers FC;3;9;67;-1;151270;2;7;-1;2;1797;62;65;63;65;1;-1;39;63;63;66;151270;1;170;36;151270;0;66;2;151270;142;0;0;0;151270;1;151270;0;0;0;1;36;750000;56;64;36;0;151270;151270;0;6;0;-1;56;66
143;41;28;227;255;255;227;38;51;28;255;Exeter City FC;3;38;66;-1;173498;2;4;-1;2;1929;64;63;63;62;1;-4;40;62;62;34;173498;0;2;39;173498;1;54;2;173498;143;0;0;0;198153;0;173498;0;0;0;0;39;600000;34;63;34;0;195427;173498;0;3;0;-1;34;61
144;41;255;255;1;1;255;255;51;255;1;Fulham FC;3;255;75;-1;220710;2;11;-1;2;15;74;72;75;72;1;0;40;71;70;62;220710;1;32;42;195202;1;72;4;195202;144;0;0;0;222501;0;220710;0;0;0;1;37;20000000;32;72;32;0;204838;220710;0;11;0;-1;32;72
149;41;0;255;255;255;0;0;53;0;255;Lincoln City FC;3;0;68;-1;193707;2;1;-1;2;149;63;63;63;61;1;0;66;64;64;54;193707;1;10;50;193707;1;54;2;193707;149;0;2;0;189159;0;173815;0;0;0;0;73;800000;61;63;80;0;163445;193707;0;1;0;-1;64;63
159;37;81;1;255;255;1;147;52;1;255;Arminia Bielefeld;18;1;66;-1;220925;2;7;-1;2;160;68;69;68;70;1;8;52;70;69;50;220925;1;34;33;167431;1;70;2;167431;159;0;0;0;210475;0;220925;0;0;0;0;53;5000000;34;69;34;1;210475;220925;0;7;0;-1;80;68
160;37;92;55;255;255;7;169;51;78;255;VfL Bochum 1848;18;220;60;-1;224423;2;10;-1;2;34;70;69;69;71;1;7;37;68;68;34;224423;1;132;24;224423;1;52;2;224423;160;0;2;0;199288;0;224423;0;0;0;1;39;9000000;54;70;34;1;199288;224423;0;10;0;-1;64;68
165;37;153;1;38;37;255;50;49;255;87;SpVgg Greuther Fürth;18;255;44;-1;212192;2;9;-1;2;171;67;67;67;67;1;10;49;68;70;51;212192;1;4;42;210723;0;48;4;210723;165;0;2;0;242850;0;212192;0;0;0;0;50;5000000;51;69;48;1;242850;212192;0;8;0;-1;42;65
166;37;81;1;255;255;15;158;52;15;255;Hertha BSC Berlin;18;145;67;-1;192557;2;12;-1;1;1831;75;77;75;76;1;13;39;77;77;51;192557;2;16;33;192557;1;51;2;192557;166;0;2;0;192557;0;192557;0;0;0;0;36;30000000;41;77;31;1;192557;192557;0;12;0;-1;61;76
