playerid;firstname;lastname;nationid;birthdate
169907;Shaun;Miller;14;147904
170290;Kai;Pröger;21;149608
188350;Marco;Reus;21;148518
188352;Kevin;Großkreutz;21;148202
188405;Zlatko;Janjić;8;147398
188545;Robert;Lewandowski;37;148235
188567;Pierre-Emerick;Aubameyang;115;148536
188770;Admir;Mehmedi;47;149172
189021;Joël;Mall;47;149192
189043;Daniel;Brosinski;21;148200
189061;Sascha;Burchert;21;148670
187043;Stefan;Johansen;36;149105
52326;Eldin;Jakupović;47;146816
189117;Roman;Bürki;47;149050
189272;Alexander;Esswein;21;148816
189278;Luke;Murphy;14;148661
189148;Jamie;Murphy;42;148607
166713;Barry;Murphy;25;147065
189387;Tom;Mickel;21;148476
189390;Bastian;Oczipka;21;148379
189410;Danny;Latza;21;148708
203590;Florian;Hübner;21;149157
189447;Artur;Sobiech;37;148895
192765;Pablo;Camacho;61;149078
189509;Thiago;Alcântara;45;149198
201400;Rafael;Alcântara;54;149871
70579;Agon;Elezi;19;152810
189922;Georg;Niedermeier;21;147328
190059;Steven;Zuber;47;149326
190243;Marwin;Hitz;47;147897
190490;Mathis;Bolly;108;149050
190494;Daniel;Opare;117;149023
53110;Craig;Gordon;42;146175
182621;Daniel;Gordon;82;146922
190520;Tony;Jantschke;21;148829
190648;Sandro;Sirigu;21;148282
190666;Manuel;Gulde;21;149140
184664;Aurélien;Collin;18;147338
190667;Marco;Terrazzino;21;149202
190671;Mike;Frantz;21;147558
190826;Marc;Hornschuh;21;149158
190854;Peter;Pekarík;43;147574
182521;Toni;Kroos;21;148736
191066;Felix;Kroos;21;149168
156535;Luca;Oyen;7;153188
191251;Andreas;Lambertz;21;146829
191252;Marcel;Gaus;21;148581
186751;Bobby;Grant;14;148914
167926;Anthony;Grant;14;147791
156253;Joe;Lewis;14;147915
191565;Yūya;Ōsako;163;148870
192070;Joseph;Baffo;46;149774
193303;Ashley;Richards;50;149199
192158;Mauricio;Albornoz;46;148071
192128;Miiko;Albornoz;55;149066
192318;Mario;Götze;21;149617
186144;Cameron;Stewart;14;149195
203139;Anthony;Stewart;14;149724
192496;Paul;Downing;14;149396
176941;Adam;Rooney;25;148113
192445;Daniel;Ginczek;21;149200
192557;Marvin;Plattenhardt;21;149488
168590;Markus;Karl;21;147316
183442;James;Henry;14;148528
193098;Christian;Clemens;21;149313
192563;Bernd;Leno;21;149526
192660;Sebastian;Polter;21;149188
192663;Fabian;Klos;21;147972
192665;Andreas;Luthe;21;147705
192728;Moritz;Hartmann;21;147442
192732;Edgar;Prib;40;148716
192984;Koen;Casteels;7;149639
183544;Graham;Burke;25;150092
193057;Charlison;Benschop;85;148600
193097;Stephan;Salger;21;148762
193103;Patrick;Schönfeld;21;148539
193209;José Pierre;Vunguidica;98;148735
193222;Fabian;Giefer;21;148869
193251;Christoph;Schösswendter;4;148199
193254;Christopher;Trimmel;4;147691
193272;Samuel;Şahin-Radlinger;4;149774
107261;Cyrille;Merville;18;145914
193276;Philipp;Klingmann;21;148114
193311;Philipp;Bargfrede;21;148429
193584;Guido;Burgstaller;4;146431
193679;Marcel;Correia;38;148503
193749;Peniel;Mlapa;144;149148
193886;Daniel;Didavi;21;148784
194015;Julian;Börner;21;149118
194333;Rafał;Gikiewicz;37;147935
194665;Stefan;Ilsanker;4;148505
194730;Juan; Carlos;45;148021
194794;Andriy;Yarmolenko;49;148663
195038;Florian;Kainz;4;149700
195363;Jeffrey;Bruma;34;149414
195365;Kevin;Kampl;44;149014
195586;Alfreð;Finnbogason;24;148399
196339;Marcel;Titsch-Rivero;21;148673
197031;Marvin;Ducksch;21;150259
197226;Sören;Bertram;21;149253
197376;Clemens;Fandrich;21;149107
197445;David;Alaba;4;149638
197786;Giulio;Donati;27;148768
167431;Gonzalo;Castro;21;147798
198118;Josuha;Guilavogui;18;148994
198141;Marc;Bartra;45;149112
178571;Rafael;Wihby Bracali;54;145570
198200;Benjamin;Stambouli;18;148957
198617;Dominick;Drexler;21;148878
185181;Yoel;Rodríguez;45;148242
193293;Jorge;Rodríguez;60;146919
193352;Ricardo;Rodríguez;47;149700
187298;Hugo;Rodríguez;83;148891
172397;Diego;Rodríguez;81;150868
170664;Cristian;Rodríguez;60;147179
198710;James;Rodríguez;56;149290
177621;Felipe;Rodríguez;83;148460
198451;Daniel;Rodríguez;45;148159
192045;Luis;Rodríguez;83;149118
198910;Nico;Klotz;21;147534
198914;Jan;Hochscheidt;21;147913
199042;Charles;Aránguiz;55;148474
199049;Richárd;Magyar;46;149220
193361;Roberto;Soriano;27;149136
199266;Dong Won;Ji;167;149245
116762;Sébastien;Roudet;18;145612
199288;Anthony;Losilla;18;147340
199339;Manuel;Riemann;21;148254
199413;Tobias;Kempe;21;148545
199439;Michael;Gregoritsch;4;150301
199526;Balázs;Megyeri;23;148822
199761;Marcin;Kamiński;37;149477
199776;Luca;Caldirola;27;149129
186551;Fernando;Navarro;83;148475
192012;Diego;Reyes;83;149725
172890;Christian;Reyes;86;150864
199897;Nicolas;Höfler;21;148800
200120;Michael;Ortega;56;149193
200159;Stefan;Ortega;21;149773
200212;Michael;Esser;21;147962
200215;Sebastian;Rode;21;149016
200318;Mark;Uth;21;149333
200433;Lukas;Hinterseer;4;149184
200466;Vitus;Eicher;21;149041
200469;Lukas;Rupp;21;149105
200473;Steven;Skrzybski;21;149785
200536;Nico;Schulz;21;149919
200610;Kevin;Volland;21;149674
200641;Yevhen;Konoplyanka;49;148639
200700;Alexander;Merkel;165;149515
200857;Moritz;Leitner;21;149805
200953;Christoph;Hemlein;21;149082
200954;Denis;Thomalla;21;149691
201025;Gaëtan;Bussmann;18;149130
201262;Vladimír;Darida;12;148952
201290;Robert;Žulj;4;149498
201342;Frederik;Sørensen;13;149567
192979;Thomas;Sørensen;13;146754
165735;Brad;Jones;195;145888
194957;Phil;Jones;14;149514
182365;Jamie;Jones;14;148416
177692;Mike;Jones;14;147863
170095;Daniel;Jones;14;147628
201533;Paul-Georges;Ntep;103;149673
116917;Damien;Perquis;18;147338
201860;Ermin;Bičakčić;8;148756
201877;Mats;Møller Dæhli;36;150619
201922;Martin;Hinteregger;4;149713
201925;Kevin;Kraus;21;149687
202053;Ryō;Miyaichi;163;149811
202088;Felix;Klaus;21;149719
202106;Marvin;Knoll;21;149071
202115;Matthias;Ostrzolek;21;148888
202151;Konstantinos;Stafylidis;22;150164
134777;Grégory;Bourillon;18;146723
202201;Jeffrey;Gouweleeuw;34;149288
203249;Joel;Valencia;57;150513
187259;Omar;Valencia;87;154005
202276;Simon;Zoller;21;149274
202316;Timmy;Chandler;95;148820
202429;Danny;da Costa;21;150022
202456;John;Verhoek;34;148451
183711;Jordan;Henderson;14;148900
118646;Ian;Henderson;14;146930
155886;Stephen;Henderson;25;148124
118794;Andy;Lonergan;14;146467
202512;Florian;Hartherz;21;149977
202789;Alexander;Schwolow;21;149616
202857;Karim;Bellarabi;21;148830
202905;Christoffer;Nyman;46;149741
203106;Leonardo;Bittencourt;21;150181
203159;Tim;Kister;21;147635
203315;Georg;Teigl;4;149137
203363;Gustav;Valsvik;36;149974
51188;Kévin;Dawson;60;149501
194806;Craig;Dawson;14;148858
199046;Kevin;Dawson;25;148913
203440;Daniel;Davari;161;148007
203445;Benjamin;Kessel;21;147910
184614;Michiel;Kramer;34;148339
202214;Chris;Korb;95;147917
197930;Josh;Parker;63;149067
172872;Murat;Yıldırım;48;147774
184082;Lamine;Koné;108;148399
183766;Bakary;Koné;101;148119
196582;Emmanuel;Koné;108;147636
170183;Nathan;Arnold;14;148061
198160;Shaun;Francis;82;147546
132740;Jesper;Hansen;13;147057
190459;André;Hansen;36;148718
184040;Martin;Hansen;13;148898
169708;Sam;Hutchinson;14;148582
193549;Shaun;Hutchinson;14;149059
152065;Simon;Poulsen;13;146821
195091;Willian;Roberto;54;148524
199564;Sergio;Roberto;45;149500
135043;Anders;Lindegaard;13;146644
164322;Willian;Gomes;54;147594
186568;Marcos Paulo;Gomes;54;148196
135507;Fernando Luiz;Rosa;54;147030
135587;Niki;Mäenpää;17;146929
183025;Matt;Simon;195;147293
202841;Jake;Carroll;25;149320
202491;Tom;Carroll;14;149611
182836;Andy;Carroll;14;148373
183129;Ciaran;Clark;25;148636
202464;Jordan;Clark;14;150093
198355;Steve;Clark;95;147375
196907;Danilo;Russo;27;147825
166919;Marc;Wilson;25;147865
193716;Danny;Wilson;42;149458
173734;James;Wilson;50;148424
199852;Nicolai;Jørgensen;13;149112
183491;Mathias;Jørgensen;13;148845
169843;Ben;Turner;14;148235
138181;Michael;Turner;14;146488
166758;Chris;Turner;35;147639
138188;Lloyd;Sam;117;146811
186558;Jimmy;Ryan;25;148251
138251;Richard;Foster;42;147118
185119;Alex;Dyer;84;148894
173436;Nathan;Dyer;14;147969
163761;Curtis;Davies;14;146980
151213;Ben;Davies;14;145592
200715;Adam;Davies;50;149661
170818;Steven;Davies;14;147999
165185;Craig;Davies;50;147280
172825;Rodrigo;Alvarez;83;147766
138297;Arturo;Alvarez;76;147085
189242;Philippe;Coutinho;54;149626
195057;Scott;Fox;42;147815
138412;James;Milner;14;147275
172344;Yousef;Hassan;182;151068
138719;Chris;O'Grady;14;147296
203398;Derrick;Williams;25;149845
198071;George;Williams;14;149932
198776;Jonathan;Williams;50;150110
202171;Josh;Williams;95;148110
200411;Luke;Williams;14;149990
181681;Shaun;Williams;25;147563
198194;Danny;Williams;95;148434
177313;Andy;Williams;14;147497
171387;Iván;López;81;149010
142707;Lisandro;López;52;146236
167529;Rodrigo;López;83;153066
197666;Kevin;López;81;150957
201505;David;López;45;148649
175091;Luis;López;81;150084
203505;Joe;Bryan;14;150088
50038;Matheus;Vargas;54;151093
188070;Ronald;Vargas;61;147607
195902;Christian;Vargas;53;146426
198653;Martín;Silva;60;146259
200395;Marcelo;Silva;60;148447
192094;Rodrigo;Silva;54;148129
139799;Santiago;Silva;60;145423
160293;Tom;Soares;14;147462
150568;Jonathan;Brison;18;146213
150659;Vincent;Demarconnay;18;146270
196853;Joel;Sánchez;59;148529
199570;Jesús;Sánchez;83;148610
171578;Javier;Sánchez;45;151362
184626;Nicolás;Sánchez;52;147306
202786;Richard;Sánchez;83;150288
184941;Alexis;Sánchez;55;148355
182882;Carlos;Sánchez;56;147308
191010;Juan Manuel;Díaz;60;147937
189454;Damián;Díaz;57;147392
183353;Víctor;Díaz;45;148165
176930;Marcelo;Díaz;55;147635
52402;Sebastián;Díaz;55;150980
189153;Mauro;Díaz;52;149166
159366;Martín;Cortés;52;146182
178421;César;Cortés;55;146549
196147;Giovanni;Moreno;56;147453
173432;Héctor;Moreno;83;148018
187110;Miguel;Ponce;83;148469
140415;Leon;Britton;14;146069
192622;Shane;Duffy;25;149463
192540;Mark;Duffy;14;147186
140423;Jake;Buxton;14;146969
140445;Steven;MacLean;42;146045
189868;Alex;Marshall;82;151709
140498;David;Marshall;42;146970
173673;Stephen;Quinn;25;147362
140620;Ragnar;Klavan;208;147209
183151;Muhamed;Keita;36;148977
194742;Rafael;Galhardo;54;149400
173373;Sergio;Romero;52;147689
203119;Gabriel;Santana;54;148738
142979;Juan;Quiroga;52;145920
200826;Mauro;Quiroga;52;148708
187652;David;Yurchenko;40;147357
183743;Alfonso;Blanco;83;147848
190577;Sebastián;Blanco;52;148076
153275;Jean-Louis;Leca;18;147170
153298;Arnold;Mvuemba;110;146934
189259;Jean-Eudes;Maurice;80;147443
143586;Gastón;Aguirre;52;145760
172112;Marcos;Aguirre;52;146630
192354;Juan;Domínguez;83;151957
199103;Alexander;Domínguez;57;147792
192673;Ibrahima;Diallo;18;152086
199792;Anders;Christiansen;13;148891
200209;Nicolai;Larsen;13;149165
157888;Quentin;Westberg;95;147386
192001;Carlos;Guzmán;83;150332
199442;Mario;Grgic;4;149350
161646;Joan;Hartock;18;147684
161700;François;Clerc;18;146283
188978;Marc;Pedersen;13;148579
186355;Esteban;Conde;60;146238
163420;Pierre;Vignaud;18;146244
163657;Idriss;Ech-Chergui;18;147048
203166;Robert;Koch;21;147328
193313;Julian;Koch;21;149047
190460;Christian;Eriksen;13;149507
186555;Wéverton;da Silva;54;147983
192568;Anderson;da Silva;54;148184
172481;Alexandre;da Silva;54;146402
188111;Marcos;da Silva;54;148659
197670;Francisco;da Silva;54;149124
177649;Rafael;da Silva;54;146391
190674;Benjamin;André;18;148947
163791;Geoffrey;Jourdren;18;147306
189308;Dale;Bennett;14;148738
186595;Elliott;Bennett;82;148354
183774;Ryan;Bennett;14;148797
190430;Joe;Bennett;14;148819
193187;Kyle;Bennett;14;148984
189238;Florian;Hart;4;148863
150724;Joe;Hart;14;147745
200292;Jason;Lowe;14;149342
150729;Ryan;Lowe;14;144610
163578;Curtis;Weston;14;147660
178626;Joe;Thompson;14;148431
201212;Adam;Thompson;35;149734
192695;Nathan;Thompson;14;149045
195020;David;Davis;14;149148
169588;Jonny;Evans;35;148004
152454;Gareth;Evans;14;148118
152505;John;White;14;147478
165269;Razak;Boukari;144;147751
200443;Barry;Douglas;42;148614
189860;Francisco;Femenía;45;149130
186392;Joel;Ward;14;148669
161943;Elliott;Ward;14;146925
164467;Jamie;Ward;35;147403
194319;Danny;Ward;14;149075
186147;Gary;Woods;14;148733
197687;Liam;Noble;14;149225
199661;Almog;Cohen;26;148246
202698;Luke;Young;14;149881
189307;Lewis;Young;14;148637
152908;Ashley;Young;14;147096
163616;Jamie;Young;14;147143
174606;Juan;Montenegro;53;151324
152991;Dean;Marney;14;146571
200428;Graham;Kelly;25;149401
192580;Jake;Kelly;25;148901
186449;Liam;Kelly;42;148773
192542;Shaun;Kelly;25;148655
184037;Martin;Kelly;14;148849
185255;Gonzalo;Zárate;52;146759
198632;Jorge;Zárate;83;149482
153177;Mauro;Zárate;52;147713
199245;José;Rangel;83;152440
134968;Robbie;Haemhouts;7;146518
162328;Remko;Pasveer;34;146487
165064;Jerold;Promes;34;146609
175314;Kevin;McDonald;42;148310
202731;Conor;McCormack;25;148870
155979;Ross;McCormack;42;147501
169181;Kenneth;Vermeer;34;147281
169805;Antoine;Devaux;18;146958
172143;Lasse;Schøne;13;147418
172850;Ramon;Leeuwin;34;147880
189836;Joseph;Mills;14;148670
156165;Matthew;Mills;14;147466
177279;Ruben Yttergård;Jenssen;36;148126
177893;Nathan;Rutjes;34;146510
165191;Cameron;Jerome;14;147558
178211;Robert;Zwinkels;34;146299
181780;Tim;Matavž;44;148380
183426;Daniel;Schwaab;21;148237
156299;Shaun;Barker;14;146072
172195;Mathieu;Robail;18;147059
183736;Dirk;Marcellis;34;148105
183933;Ard;van Peppen;34;147083
183993;Erik;Israelsson;46;148423
202107;Alfredo;Morales;95;148864
191725;Pedro;Morales;55;147051
184001;Donny;Gorter;34;148168
184635;Stef;Nijland;34;148224
185171;Adil;Auassar;34;147550
186456;Jan-Arie;van der Heijden;34;148064
202428;Bobby;Wood;95;149782
156464;Richard;Wood;14;147092
192123;Chris;Wood;198;149438
186502;Gianluca;Nijholt;34;148777
186503;Tim;Breukers;34;147944
188157;Lex;Immers;34;147430
188424;Dries;Wuytens;7;149174
188416;Stijn;Wuytens;7;148648
188621;Aaron;Meijers;34;147937
171982;Calvin;Andrew;14;147624
190620;Danny;Andrew;14;149089
173040;Alexandre;Bonnet;18;147561
189084;Eloy;Room;85;148404
189713;Erik;Falkenburg;34;148127
189715;Marko;Vejinović;34;148766
189143;Sebastian;Eriksson;46;148398
156894;Darren;Pratley;14;147018
190778;Jeroen;Zoet;34;149103
172517;Mike;Jensen;13;148051
190947;David;Jensen;13;149547
188484;Abel;Hernández;60;148952
199827;Pablo;Hernández;55;147568
187421;Jorge;Hernández;83;148528
178224;Javier;Hernández;83;148154
202017;Onel;Hernández;73;149860
192904;Guram;Kashia;20;147821
174547;José;Rojas;55;146349
198138;Rodrigo;Rojas;58;148101
181220;Santiago;Rojas;58;151019
193092;Marco;Rojas;198;149406
188977;Daniel;Rojas;53;152437
193302;Filip;Kurto;37;149262
193440;Nick;Viergever;34;148582
193443;Tim;Coremans;34;149197
203232;Sean;Russell;25;150172
185068;Johnny;Russell;42;148830
193706;Dario;Dumić;8;149492
173245;Ramón;Fernández;52;146878
193164;Eduardo;Fernández;83;149813
186408;Sebastián;Fernández;60;147049
143590;Leandro;Fernández;52;146205
193241;Roberto;Fernández;58;148090
201988;Federico;Fernández;52;148419
186680;Raúl;Fernández;45;148074
146296;Andrés;Fernández;45;147621
50058;Manuel;Fernández;60;148392
198006;Jens;Toornstra;34;148461
193339;Jonathan;Estrada;56;146202
198135;Darryl;Lachman;85;148682
175141;Didier;Ovono;115;146198
198147;Mark;van der Maarel;34;148591
198175;Luc;Castaignos;34;149733
198640;Zakaria;Labyad;129;149896
177448;Gustav;Svensson;46;147674
198657;Jonas;Svensson;36;149893
198658;Fredrik;Midtsjø;36;150051
175613;Jérémy;Choplin;18;146946
199407;Danny;Post;34;148464
199568;Konstantinos;Lamprou;22;149358
199767;Marco;van Ginkel;34;149798
190784;Jean;Alexandre;80;147507
199833;Lars;Unnerstall;21;148933
200110;Marco;Bizot;34;149166
194089;Christoph;Moritz;21;148759
200260;Steven;Berghuis;34;149450
200275;Youness;Mokhtar;129;149338
200424;Ben;Rienstra;34;148888
200425;Mike;te Wierik;34;149622
157665;Scott;Dann;14;147681
200535;Terry;Antonis;195;150158
200698;Nick;Marsman;34;149006
157703;Uwe;Hünemeier;21;147280
201301;Daniel;Høegh;13;149103
157734;Anssi;Jaakkola;17;147708
201978;Piotr;Parzyszek;37;150079
202050;Thomas;Bruns;34;149469
166764;Trevor;Carson;35;148066
157804;Scott;Carson;14;147152
202190;Chiró;N'Toko;7;148032
202458;Navarone;Foor;34;149497
190695;Danilo;Fernandes;54;148095
176849;Pierre;Gibaud;18;148114
202746;Thulani;Serero;140;148833
203266;Gyliano;van Velzen;34;150287
203535;Tonny;Vilhena;34;150561
176996;Antony;Robic;18;147335
187755;Pedro;Ken;54;147715
202064;Luis Carlos;Arias;56;146919
202399;Diego;Arias;56;147072
158592;Germán;Montoya;52;146198
177123;Kévin;Das Neves;18;147399
197996;Eric;Larsson;46;149293
198455;Johan;Larsson;46;148857
177292;Antoine;Ponroy;18;147376
159080;Craig;Bryson;42;147581
177377;Mathieu;Ligoule;18;146240
193283;Thomas;Delaney;13;149343
203289;Max;Clayton;14;150414
186385;Adam;Clayton;14;148381
160292;Ben;Watson;14;147096
200744;Ryan;Watson;14;150016
197061;Joel;Matip;103;149317
177479;Cyriaque;Louvion;18;147841
161857;Florian;Klein;4;147592
177482;Mathieu;Coutadeur;18;147350
177568;Alexandre;Raineau;18;147443
177762;Laurent;Agouazi;97;146616
179543;Amin;Nouri;36;148742
193001;Riad;Nouri;18;147064
177875;Jacques;Salze;18;147746
176780;Franck;Moussa;7;148572
190685;Mana;Dembélé;126;148335
162240;Moussa;Dembélé;7;147833
179725;Joris;Sainati;18;148270
177805;Marco;Rossi;27;147909
194894;Francesco;Rossi;27;149214
162780;Oleg;Ivanov;40;147487
183108;Nordin;Amrabat;129;147726
202603;Alessandro;De Vitis;27;149508
179931;Cédric;Avinel;18;147525
187033;Sean;Morrison;14;149105
188782;Michael;Morrison;14;148064
162471;Andy;Keogh;25;147407
163201;Michael;McGovern;35;146734
163264;Tom;Heaton;14;147376
192154;Josh;Payne;14;149061
199620;Stefan;Payne;14;149319
163303;Glenn;Whelan;25;146553
202799;Jordan;Graham;14;150622
170114;Brian;Graham;42;147963
163342;Simon;Cox;25;147754
178194;Dean;Cox;14;147860
163351;Luke;Varney;14;146081
177315;Gary;Roberts;14;146618
163356;Mark;Roberts;14;146464
138279;Nikolas;Dyhr;13;152919
203192;Dean;Jarvis;35;149615
163571;Matt;Jarvis;14;147413
163587;Kasper;Schmeichel;13;147580
163600;John;Ruddy;14;147568
163621;Ben;Alnwick;14;147637
163757;Joe;Walsh;50;149596
201911;Will;Keane;25;149839
198998;Josh;Rose;195;145795
203500;Danny;Rose;14;150172
192678;Enrique;García;45;148696
200278;Santiago;García;52;148191
178566;Javier;García;52;147665
191782;Antonio;García;83;149479
163828;Adam;Le Fondre;14;147607
139187;Eduardo;Anderson;87;152781
169919;Paul;Anderson;14;148206
201995;Felipe;Anderson;54;149933
181499;Johann;Ramaré;18;146697
201103;Diego;Rigonato;54;148070
169461;Michael;O'Connor;35;147915
164835;Łukasz;Fabiański;37;147014
181721;Djamel;Bakar;214;148463
193027;Damián;Lizio;53;148548
187265;Francisco;Acuña;83;148020
178150;Karamoko;Cissé;118;148320
165190;Joe;Ledley;50;147659
196976;Nathan;Cameron;14;149422
189218;Ryan;Jack;42;149520
165219;Jack;Hobbs;14;148232
165229;Laurent;Koscielny;18;147159
72557;Tomáš;Rigo;43;152934
